timestamp,rmssd,coverage,low_frequency,high_frequency
2023-01-19T03:55:00,60.103,0.985,959.946,985.237
2023-01-19T04:00:00,54.38,0.994,504.734,1005.265
2023-01-19T04:10:00,40.965,0.944,817.534,382.39
2023-01-19T04:15:00,47.227,0.841,582.139,523.533
2023-01-19T04:40:00,54.618,0.704,887.493,591.356
2023-01-19T04:45:00,36.801,0.929,670.96,293.828
2023-01-19T04:50:00,39.979,0.94,863.441,434.192
2023-01-19T05:20:00,66.031,0.843,1088.231,819.909
2023-01-19T05:25:00,57.875,0.797,382.203,676.361
2023-01-19T05:30:00,81.011,0.901,2945.875,1145.139
2023-01-19T05:35:00,71.516,0.923,4998.57,1427.824
2023-01-19T05:40:00,41.265,1.001,873.811,354.174
2023-01-19T05:45:00,34.753,1.005,804.428,285.161
2023-01-19T05:50:00,37.586,1.004,729.478,312.48
2023-01-19T05:55:00,35.077,1.003,714.665,346.682
2023-01-19T06:00:00,37.227,1.004,656.377,343.731
2023-01-19T06:05:00,47.817,0.959,3284.599,505.401
2023-01-19T06:10:00,41.159,0.986,469.861,388.84
2023-01-19T06:15:00,41.601,0.943,700.046,427.673
2023-01-19T06:20:00,58.324,0.984,1482.769,688.171
2023-01-19T06:25:00,43.735,0.925,1762.727,345.784
2023-01-19T06:30:00,42.8,1.001,3538.86,329.433
2023-01-19T06:35:00,37.316,0.917,1710.419,264.849
2023-01-19T06:40:00,39.611,0.992,976.497,273.992
2023-01-19T06:45:00,57.698,0.768,2086.505,644.072
2023-01-19T06:50:00,58.346,0.924,751.975,718.628
2023-01-19T06:55:00,54.668,0.996,1050.071,729.065
2023-01-19T07:00:00,54.482,1.003,994.161,721.717
2023-01-19T07:05:00,67.138,0.952,2306.699,1104.307
2023-01-19T07:30:00,45.262,0.972,1295.219,600.796
2023-01-19T07:35:00,39.728,0.998,1338.144,366.614
2023-01-19T07:40:00,37.946,0.868,1537.526,178.191
2023-01-19T07:45:00,35.286,0.944,1110.715,160.166
2023-01-19T07:50:00,49.963,0.939,1817.314,629.942
2023-01-19T07:55:00,53.326,1.004,1465.264,1022.676
2023-01-19T08:00:00,46.822,0.96,757.719,390.542
2023-01-19T08:05:00,36.7,1.004,828.489,268.759
2023-01-19T08:10:00,35.615,0.992,643.01,263.815
2023-01-19T08:15:00,33.606,0.987,939.704,239.55
2023-01-19T08:20:00,33.952,1.007,1168.009,217.873
2023-01-19T08:25:00,29.401,0.998,657.072,188.996
2023-01-19T08:30:00,28.129,1.004,824.865,164.476
2023-01-19T08:35:00,29.838,1.004,605.715,191.159
2023-01-19T08:40:00,27.371,0.993,354.973,133.661
2023-01-19T08:45:00,29.097,1.005,991.692,201.618
2023-01-19T09:05:00,54.753,0.732,5059.599,458.47
2023-01-19T09:10:00,46.394,0.995,2592.335,505.766
2023-01-19T09:15:00,40.099,0.938,3624.945,268.393
2023-01-19T09:20:00,35.436,0.903,559.18,209.032
2023-01-19T09:25:00,56.339,0.983,2814.763,379.132
2023-01-19T09:30:00,41.771,1.003,1500.908,472.731
2023-01-19T09:50:00,42.073,1.005,1882.928,329.253
2023-01-19T09:55:00,39.861,0.999,1214.37,381.168
2023-01-19T10:00:00,43.674,1.005,2310.363,400.442
2023-01-19T10:05:00,43.726,0.978,1967.124,371.163
2023-01-19T10:10:00,76.599,0.933,1137.06,1489.583
2023-01-19T10:15:00,64.012,1.001,1795.449,1029.24
2023-01-19T10:20:00,67.853,1.005,2018.358,1204.35
2023-01-19T10:25:00,71.954,1.002,1407.333,1337.155
2023-01-19T10:30:00,73.431,0.91,3994.84,1444.119
2023-01-19T10:35:00,69.71,0.964,2228.869,976.323
2023-01-19T10:40:00,49.537,0.993,737.239,689.412
2023-01-19T10:45:00,58.905,0.97,3540.694,614.812
2023-01-19T10:50:00,41.618,0.98,1454.927,330.273
2023-01-19T10:55:00,54.424,0.905,1608.89,502.346
2023-01-19T11:00:00,48.661,0.922,1824.129,664.943
2023-01-19T11:05:00,61.018,0.907,3080.458,398.473
2023-01-19T11:10:00,40.033,0.98,1317.639,395.34
2023-01-19T11:15:00,33.535,1.002,1304.527,224.499
2023-01-19T11:20:00,31.822,1.006,1000.377,207.514
2023-01-19T11:25:00,31.878,1.002,1439.962,225.538
2023-01-19T11:30:00,29.521,1.004,742.16,217.0
2023-01-19T11:35:00,30.344,0.989,1145.705,247.542
2023-01-19T11:40:00,28.643,1.004,739.388,213.328
2023-01-19T11:45:00,29.982,0.999,622.81,178.084
2023-01-19T11:50:00,35.785,1.005,1481.884,245.76
2023-01-19T12:05:00,79.088,0.811,6366.846,1486.065
2023-01-19T12:10:00,61.206,0.965,3512.975,1045.088
2023-01-19T12:15:00,62.0,0.949,3918.998,1247.197
2023-01-19T12:20:00,40.106,0.707,3601.754,241.421
