timestamp,rmssd,coverage,low_frequency,high_frequency
2023-01-30T04:10:00,39.55,1.001,1087.613,458.129
2023-01-30T04:15:00,31.278,0.947,386.805,320.162
2023-01-30T04:20:00,34.363,1.005,939.037,301.45
2023-01-30T04:25:00,36.223,1.001,526.124,388.051
2023-01-30T04:30:00,36.915,1.004,511.322,386.677
2023-01-30T04:35:00,36.426,1.002,569.947,385.771
2023-01-30T04:40:00,49.497,0.803,1486.899,369.414
2023-01-30T04:45:00,55.432,0.942,1555.56,953.182
2023-01-30T04:50:00,43.361,1.002,789.976,560.354
2023-01-30T04:55:00,39.532,1.003,682.584,531.299
2023-01-30T05:00:00,34.144,1.002,436.399,374.073
2023-01-30T05:05:00,32.84,1.005,383.085,392.021
2023-01-30T05:10:00,31.999,1.001,504.778,310.503
2023-01-30T05:15:00,30.315,1.004,314.853,340.388
2023-01-30T05:20:00,31.616,1.004,522.304,386.409
2023-01-30T05:25:00,31.507,1.003,535.311,342.436
2023-01-30T05:30:00,26.495,0.885,691.712,107.617
2023-01-30T05:35:00,42.828,0.965,2574.194,473.406
2023-01-30T05:40:00,32.525,0.971,545.192,271.075
2023-01-30T05:45:00,32.291,1.004,698.213,279.423
2023-01-30T05:50:00,38.531,1.004,386.729,531.587
2023-01-30T05:55:00,40.205,1.001,720.778,496.765
2023-01-30T06:00:00,39.112,1.005,799.793,414.334
2023-01-30T06:05:00,39.369,1.003,544.372,488.915
2023-01-30T06:10:00,39.16,1.002,400.625,403.241
2023-01-30T06:15:00,45.072,0.998,843.477,522.162
2023-01-30T06:20:00,50.964,0.774,1019.52,536.871
2023-01-30T06:25:00,50.085,0.982,1120.107,498.852
2023-01-30T06:30:00,61.486,0.753,2771.86,456.164
2023-01-30T06:35:00,43.642,0.955,1672.945,448.365
2023-01-30T06:40:00,25.839,0.955,859.57,124.569
2023-01-30T06:45:00,46.675,0.91,1248.061,483.712
2023-01-30T06:50:00,35.085,0.898,959.459,210.887
2023-01-30T06:55:00,68.914,0.964,1173.352,1305.374
2023-01-30T07:00:00,66.8,1.001,658.178,1279.989
2023-01-30T07:05:00,68.47,0.954,704.254,1237.476
2023-01-30T07:10:00,62.571,0.982,570.661,1051.032
2023-01-30T07:15:00,47.718,1.004,540.218,514.692
2023-01-30T07:20:00,43.336,1.005,732.504,557.587
2023-01-30T07:25:00,41.298,1.003,507.737,411.703
2023-01-30T07:30:00,40.94,1.0,519.435,400.422
2023-01-30T07:35:00,39.715,1.005,1200.83,353.969
2023-01-30T07:40:00,40.139,1.003,477.914,375.418
2023-01-30T07:45:00,66.128,0.733,2639.776,999.492
2023-01-30T07:50:00,76.621,0.954,1498.516,1632.793
2023-01-30T07:55:00,82.61,0.914,1836.354,1201.007
2023-01-30T08:00:00,66.444,0.931,1380.182,1337.837
2023-01-30T08:05:00,38.532,0.93,2084.039,306.469
2023-01-30T08:10:00,64.746,0.997,1499.47,1171.477
2023-01-30T08:15:00,63.52,0.972,366.954,1001.391
2023-01-30T08:20:00,72.435,0.792,3925.621,1007.196
2023-01-30T08:25:00,37.9,1.003,658.023,407.416
2023-01-30T08:30:00,57.201,0.918,658.716,924.35
2023-01-30T08:35:00,51.953,0.933,1096.726,561.807
2023-01-30T08:40:00,48.712,0.976,687.682,616.091
2023-01-30T08:45:00,43.313,0.932,693.786,398.504
2023-01-30T08:50:00,42.103,1.001,957.633,450.332
2023-01-30T08:55:00,27.992,1.0,1008.336,151.387
2023-01-30T09:00:00,40.999,0.813,1856.543,254.155
2023-01-30T09:05:00,32.963,0.969,2631.943,314.87
2023-01-30T09:10:00,39.395,0.95,2267.64,329.535
2023-01-30T09:15:00,28.237,0.987,3164.349,238.658
2023-01-30T09:20:00,37.826,0.929,768.244,425.907
2023-01-30T09:25:00,51.268,0.963,1011.944,681.929
2023-01-30T09:30:00,39.644,1.004,1231.275,368.937
2023-01-30T09:35:00,33.404,0.92,1908.677,243.096
2023-01-30T09:40:00,65.647,0.938,817.407,1278.859
2023-01-30T09:45:00,57.019,1.001,725.295,788.844
2023-01-30T09:50:00,56.025,0.96,1416.569,817.108
2023-01-30T09:55:00,52.779,0.927,889.76,849.827
2023-01-30T10:00:00,63.076,0.841,3240.952,824.302
2023-01-30T10:10:00,61.199,0.98,1185.459,1130.336
2023-01-30T10:15:00,65.879,0.971,1171.184,1169.231
2023-01-30T10:20:00,57.602,1.003,1464.177,986.614
2023-01-30T10:25:00,55.97,0.995,697.297,886.175
2023-01-30T10:35:00,73.22,0.797,4034.326,1057.439
2023-01-30T10:40:00,28.695,0.86,825.929,155.774
2023-01-30T10:45:00,39.009,0.908,2566.106,282.428
2023-01-30T10:50:00,57.264,0.974,2191.872,607.758
2023-01-30T10:55:00,45.775,1.004,779.94,544.824
2023-01-30T11:45:00,45.0,0.92,1318.819,383.857
2023-01-30T11:50:00,44.45,0.971,2371.31,418.458
