timestamp,rmssd,coverage,low_frequency,high_frequency
2023-01-26T01:50:00,27.136,0.718,497.095,142.879
2023-01-26T01:55:00,38.612,0.994,1111.953,455.117
2023-01-26T02:00:00,36.747,0.983,309.073,396.737
2023-01-26T02:05:00,41.185,0.96,1553.161,472.483
2023-01-26T02:10:00,43.157,0.979,2533.17,588.011
2023-01-26T02:15:00,42.711,1.003,584.781,617.633
2023-01-26T02:20:00,49.822,0.935,4455.966,607.794
2023-01-26T02:25:00,32.374,0.996,552.506,283.689
2023-01-26T02:30:00,32.194,0.958,513.733,274.002
2023-01-26T02:35:00,39.571,0.975,5098.468,443.379
2023-01-26T02:40:00,35.426,0.991,1381.45,284.145
2023-01-26T02:45:00,31.032,0.924,499.683,224.989
2023-01-26T02:50:00,57.773,0.922,1465.076,1015.002
2023-01-26T02:55:00,39.036,0.986,1349.624,465.058
2023-01-26T03:00:00,36.69,1.005,834.838,429.157
2023-01-26T03:05:00,39.235,0.955,1069.686,566.488
2023-01-26T03:10:00,35.672,0.96,973.46,508.058
2023-01-26T03:15:00,38.371,1.004,897.921,498.727
2023-01-26T03:20:00,38.41,1.001,902.829,456.019
2023-01-26T03:25:00,39.413,0.991,442.656,473.28
2023-01-26T03:30:00,39.524,1.003,591.6,517.171
2023-01-26T03:35:00,40.761,0.951,381.903,568.516
2023-01-26T03:40:00,54.991,0.915,700.472,993.192
2023-01-26T03:45:00,60.269,0.84,1557.718,797.814
2023-01-26T03:50:00,36.702,0.986,1099.075,278.897
2023-01-26T03:55:00,37.449,0.998,833.023,342.989
2023-01-26T04:00:00,40.121,1.001,914.24,400.333
2023-01-26T04:05:00,40.027,1.0,540.515,420.9
2023-01-26T04:10:00,40.109,0.995,549.57,354.787
2023-01-26T04:15:00,42.259,1.001,1108.531,420.627
2023-01-26T04:20:00,43.005,1.003,627.619,485.003
2023-01-26T04:25:00,45.427,0.833,572.532,283.217
2023-01-26T04:30:00,44.111,1.001,1298.909,460.399
2023-01-26T04:35:00,25.813,1.001,980.417,154.679
2023-01-26T04:40:00,35.012,0.93,1402.363,172.52
2023-01-26T04:45:00,48.663,0.945,1915.623,509.738
2023-01-26T04:50:00,42.859,1.003,1044.787,474.526
2023-01-26T04:55:00,34.188,0.987,472.285,339.592
2023-01-26T05:00:00,36.626,1.002,982.226,383.74
2023-01-26T05:05:00,42.977,1.004,1333.715,495.817
2023-01-26T05:10:00,39.459,0.999,407.818,386.712
2023-01-26T05:15:00,38.375,1.004,355.024,419.548
2023-01-26T05:20:00,38.689,1.002,609.743,386.697
2023-01-26T05:25:00,53.171,0.94,3202.221,907.236
2023-01-26T05:30:00,46.429,1.003,397.565,571.555
2023-01-26T05:35:00,52.429,0.973,1318.528,881.639
2023-01-26T05:40:00,48.435,0.988,1079.891,516.377
2023-01-26T05:45:00,51.427,1.001,868.219,832.452
