timestamp,rmssd,coverage,low_frequency,high_frequency
2023-01-22T08:15:00,22.318,0.942,739.725,67.185
2023-01-22T08:25:00,25.533,0.769,1717.054,124.639
2023-01-22T08:30:00,24.033,0.967,444.347,114.492
2023-01-22T08:35:00,23.754,0.92,1778.684,129.408
2023-01-22T08:40:00,29.75,0.932,1375.099,154.632
2023-01-22T08:45:00,17.64,1.0,452.544,58.776
2023-01-22T08:50:00,28.775,0.861,3227.573,96.182
2023-01-22T08:55:00,20.834,0.933,572.11,68.858
2023-01-22T09:00:00,20.454,0.777,1088.873,67.745
2023-01-22T09:05:00,23.633,0.919,683.76,133.765
2023-01-22T09:10:00,21.22,1.004,345.431,109.925
2023-01-22T09:15:00,20.0,0.913,401.266,113.183
2023-01-22T09:20:00,30.215,0.895,715.521,231.868
2023-01-22T09:25:00,30.716,0.929,570.27,211.66
2023-01-22T09:30:00,26.159,1.002,482.017,213.842
2023-01-22T09:35:00,29.724,0.869,843.288,244.129
2023-01-22T09:40:00,30.299,0.933,2050.888,231.771
2023-01-22T09:45:00,31.546,0.968,821.738,276.782
2023-01-22T09:50:00,34.228,0.924,1264.664,241.535
2023-01-22T09:55:00,27.447,0.99,1657.586,195.326
2023-01-22T10:00:00,32.979,0.896,2644.739,222.219
2023-01-22T10:05:00,24.992,0.996,1467.635,162.394
2023-01-22T10:10:00,30.02,0.969,2339.223,300.382
2023-01-22T10:15:00,36.534,0.917,3454.92,417.904
2023-01-22T10:20:00,29.773,0.944,1020.085,177.258
2023-01-22T10:25:00,34.383,0.984,1068.418,245.478
2023-01-22T10:30:00,34.477,0.994,949.963,325.377
2023-01-22T10:35:00,35.066,1.006,711.566,383.609
2023-01-22T10:40:00,35.63,0.878,1744.989,246.411
2023-01-22T10:45:00,37.204,0.96,1020.631,386.286
2023-01-22T10:50:00,24.65,1.002,826.692,204.608
2023-01-22T10:55:00,24.099,1.001,557.998,157.111
2023-01-22T11:00:00,24.265,0.991,536.895,204.49
2023-01-22T11:05:00,27.058,0.952,996.441,162.51
2023-01-22T11:10:00,42.601,0.968,1718.569,465.541
2023-01-22T11:15:00,39.604,0.963,785.937,466.594
2023-01-22T11:20:00,54.181,0.89,2283.946,759.792
2023-01-22T11:25:00,44.157,0.81,2340.098,353.324
2023-01-22T11:30:00,26.752,1.004,662.28,207.226
2023-01-22T11:35:00,29.608,0.984,1021.049,168.442
2023-01-22T11:40:00,30.035,1.003,964.536,182.586
2023-01-22T11:45:00,25.11,1.003,1334.991,106.034
2023-01-22T11:50:00,20.582,0.818,993.169,76.174
2023-01-22T11:55:00,34.278,1.005,1351.625,326.383
2023-01-22T12:00:00,27.028,0.959,2695.008,222.861
2023-01-22T12:05:00,26.195,1.003,1797.678,185.865
2023-01-22T12:10:00,30.951,0.93,3617.001,314.929
2023-01-22T12:15:00,29.591,1.003,1483.454,124.856
2023-01-22T12:20:00,25.624,0.926,1788.472,120.804
2023-01-22T12:25:00,48.93,0.913,2905.732,330.198
2023-01-22T12:30:00,35.99,0.989,702.082,386.61
2023-01-22T12:35:00,35.615,0.955,1040.877,374.126
2023-01-22T12:40:00,36.48,0.71,1164.563,271.23
2023-01-22T12:45:00,34.255,1.005,1019.118,279.483
2023-01-22T12:50:00,42.552,0.892,2785.644,362.09
