timestamp,rmssd,coverage,low_frequency,high_frequency
2023-01-27T04:00:00,30.777,0.946,773.651,173.916
2023-01-27T04:05:00,35.131,0.926,864.564,314.428
2023-01-27T04:10:00,37.143,1.002,410.654,347.664
2023-01-27T04:15:00,46.547,0.983,1120.163,413.411
2023-01-27T04:20:00,39.703,0.956,1804.356,277.584
2023-01-27T04:25:00,42.605,0.926,2415.461,413.11
2023-01-27T04:30:00,43.942,0.974,1057.576,488.172
2023-01-27T04:35:00,34.946,0.998,1071.531,268.626
2023-01-27T04:40:00,37.764,0.868,1023.897,230.599
2023-01-27T04:45:00,43.495,0.905,1575.802,492.343
2023-01-27T04:50:00,30.53,0.988,2503.908,172.019
2023-01-27T04:55:00,24.405,0.965,713.646,92.329
2023-01-27T05:00:00,33.259,0.922,1008.085,181.604
2023-01-27T05:05:00,53.606,0.971,783.993,1045.713
2023-01-27T05:10:00,59.647,1.003,1010.637,1113.725
2023-01-27T05:15:00,59.92,1.003,1277.015,1015.626
2023-01-27T05:20:00,54.058,1.004,517.107,790.314
2023-01-27T05:25:00,56.798,0.817,1957.858,464.397
2023-01-27T05:30:00,41.735,1.002,2093.751,396.768
2023-01-27T05:35:00,39.742,0.992,1135.425,393.281
2023-01-27T05:40:00,43.089,1.003,1352.768,415.143
2023-01-27T05:45:00,42.321,1.001,417.702,444.449
2023-01-27T05:50:00,43.153,0.997,396.639,525.483
2023-01-27T05:55:00,42.201,1.003,546.496,491.291
2023-01-27T06:00:00,41.361,1.003,761.627,425.941
2023-01-27T06:05:00,43.66,0.988,569.91,524.724
2023-01-27T06:10:00,43.055,0.995,1121.873,506.795
2023-01-27T06:15:00,49.412,0.902,2531.548,562.353
2023-01-27T06:20:00,28.292,0.912,1174.793,115.181
2023-01-27T06:25:00,40.903,1.003,2601.529,259.435
2023-01-27T06:30:00,42.272,0.944,2041.869,391.663
2023-01-27T06:35:00,49.486,0.987,916.139,735.195
2023-01-27T06:40:00,43.21,1.005,744.699,529.604
2023-01-27T06:45:00,41.196,0.912,1424.733,418.538
2023-01-27T06:50:00,32.826,0.991,1079.158,274.407
2023-01-27T06:55:00,29.507,1.004,448.117,252.082
2023-01-27T07:00:00,31.406,0.928,450.372,271.564
2023-01-27T07:10:00,44.755,0.909,7913.897,397.927
2023-01-27T07:25:00,27.262,0.96,2812.236,136.285
2023-01-27T07:30:00,42.735,0.96,1819.532,324.031
2023-01-27T07:35:00,44.7,0.909,1601.11,514.685
2023-01-27T07:50:00,51.77,0.796,864.368,409.144
2023-01-27T07:55:00,45.058,0.922,1070.927,422.299
2023-01-27T08:00:00,46.725,0.968,988.413,562.485
2023-01-27T08:05:00,41.247,0.994,997.504,467.367
2023-01-27T08:10:00,50.897,0.876,1522.075,629.53
2023-01-27T08:15:00,31.925,0.987,696.122,139.011
2023-01-27T08:20:00,22.503,0.875,1368.605,60.737
2023-01-27T08:25:00,26.432,0.959,1528.016,74.046
2023-01-27T08:30:00,32.117,0.9,2796.762,111.998
2023-01-27T08:35:00,28.039,0.929,1501.691,116.161
2023-01-27T08:40:00,28.478,1.002,1351.961,129.44
2023-01-27T08:45:00,27.571,0.899,2410.727,126.352
2023-01-27T08:50:00,37.266,0.988,1971.769,191.733
2023-01-27T08:55:00,27.961,1.005,1130.349,115.739
2023-01-27T09:00:00,34.829,0.904,1643.234,264.456
2023-01-27T09:05:00,30.435,0.99,1250.979,219.981
2023-01-27T09:10:00,29.532,1.002,895.43,175.967
2023-01-27T09:15:00,30.268,1.004,630.837,200.97
2023-01-27T09:20:00,36.249,0.923,1177.767,236.128
2023-01-27T09:25:00,29.718,1.005,1046.893,142.032
2023-01-27T09:30:00,33.385,0.952,1273.156,205.523
2023-01-27T09:35:00,31.251,0.991,1489.137,130.583
2023-01-27T09:40:00,27.507,1.001,1106.642,141.242
2023-01-27T09:45:00,30.662,1.003,1306.601,157.528
2023-01-27T09:50:00,31.336,0.992,696.284,192.172
2023-01-27T09:55:00,31.568,0.972,1191.732,182.304
2023-01-27T10:00:00,31.749,0.985,1361.177,155.227
2023-01-27T10:05:00,53.621,0.868,1154.324,583.942
2023-01-27T10:10:00,47.561,0.885,2168.516,371.938
2023-01-27T10:15:00,28.681,1.004,1558.539,119.747
2023-01-27T10:20:00,29.758,0.92,1205.801,124.959
2023-01-27T10:25:00,30.023,0.972,3343.424,201.154
2023-01-27T10:30:00,46.414,0.873,2172.626,624.701
2023-01-27T10:35:00,54.625,0.987,1379.277,863.26
2023-01-27T10:40:00,50.223,1.005,1515.868,764.887
2023-01-27T10:45:00,45.342,0.954,3525.16,583.019
2023-01-27T10:50:00,37.242,1.006,1800.415,371.119
2023-01-27T10:55:00,38.38,1.004,986.256,322.279
