timestamp,rmssd,coverage,low_frequency,high_frequency
2023-02-01T04:50:00,39.085,0.941,1102.618,494.46
2023-02-01T04:55:00,35.573,0.984,631.723,401.699
2023-02-01T05:00:00,29.39,1.003,431.76,235.83
2023-02-01T05:05:00,29.236,1.0,920.651,186.162
2023-02-01T05:10:00,28.609,0.995,405.543,177.553
2023-02-01T05:15:00,46.897,0.941,932.76,589.108
2023-02-01T05:20:00,35.489,0.999,440.839,411.507
2023-02-01T05:25:00,33.578,0.996,387.977,379.739
2023-02-01T05:30:00,35.054,1.003,694.149,348.624
2023-02-01T05:35:00,36.865,0.996,672.283,427.202
2023-02-01T05:55:00,33.957,0.99,1001.613,378.387
2023-02-01T06:20:00,58.539,0.973,1827.546,905.262
2023-02-01T06:25:00,43.115,0.882,1437.049,483.241
2023-02-01T06:30:00,32.868,0.796,241.478,134.787
2023-02-01T06:35:00,27.758,0.982,934.529,163.957
2023-02-01T06:40:00,26.953,0.925,1142.303,96.146
2023-02-01T06:45:00,29.938,1.002,1229.972,230.684
2023-02-01T06:50:00,33.196,1.002,628.601,327.55
2023-02-01T06:55:00,36.977,0.989,1552.427,390.845
2023-02-01T07:00:00,36.01,0.987,927.466,366.108
2023-02-01T07:05:00,37.162,1.002,857.286,397.137
2023-02-01T07:10:00,36.71,0.998,1249.213,369.832
2023-02-01T07:15:00,45.925,0.865,1861.783,438.387
2023-02-01T07:25:00,49.231,0.989,917.083,696.229
2023-02-01T07:30:00,40.235,1.003,779.97,471.923
2023-02-01T07:35:00,39.9,0.844,609.397,427.016
2023-02-01T07:40:00,48.346,0.973,1478.236,622.42
2023-02-01T07:45:00,33.349,0.989,1188.315,282.983
2023-02-01T07:50:00,28.945,1.003,533.012,192.314
2023-02-01T07:55:00,34.553,0.927,1066.384,386.486
2023-02-01T08:00:00,31.719,0.882,988.898,256.982
2023-02-01T08:05:00,49.427,0.893,1780.409,663.723
2023-02-01T08:10:00,45.919,0.788,636.297,484.75
2023-02-01T08:15:00,66.113,0.885,5241.472,946.82
2023-02-01T08:20:00,53.617,0.901,1926.396,727.738
2023-02-01T08:25:00,26.557,0.894,1424.343,181.015
2023-02-01T08:30:00,20.372,0.904,1173.1,75.062
2023-02-01T08:35:00,30.278,0.882,1533.572,267.424
2023-02-01T08:40:00,22.282,0.837,1034.473,41.723
2023-02-01T08:45:00,30.37,1.003,1076.249,195.402
2023-02-01T08:50:00,22.34,0.961,1308.714,86.008
2023-02-01T08:55:00,20.243,0.996,895.461,57.739
2023-02-01T09:00:00,26.902,1.002,1683.837,126.508
2023-02-01T09:05:00,29.587,0.933,1155.709,146.357
2023-02-01T09:10:00,28.016,0.989,801.736,190.523
2023-02-01T09:15:00,25.951,1.001,920.401,148.138
2023-02-01T09:20:00,26.789,0.989,682.321,196.372
2023-02-01T09:25:00,25.583,0.989,867.171,139.631
2023-02-01T09:30:00,27.303,1.002,928.803,185.804
2023-02-01T09:35:00,50.001,0.857,1094.668,536.641
2023-02-01T09:40:00,41.86,0.993,1717.398,473.755
2023-02-01T09:45:00,44.443,0.87,868.943,470.124
2023-02-01T09:50:00,40.136,0.941,1480.123,315.737
