timestamp,rmssd,coverage,low_frequency,high_frequency
2023-01-28T04:50:00,35.549,0.7,1159.606,197.531
2023-01-28T04:55:00,40.128,0.89,1582.8,225.308
2023-01-28T05:00:00,36.57,1.005,749.298,356.337
2023-01-28T05:05:00,37.22,0.959,520.592,373.293
2023-01-28T05:10:00,39.683,1.005,313.005,557.07
2023-01-28T05:15:00,35.749,1.004,360.054,444.653
2023-01-28T05:20:00,35.723,0.989,269.156,450.849
2023-01-28T05:25:00,35.083,1.003,205.775,467.563
2023-01-28T05:30:00,35.378,1.002,400.627,477.373
2023-01-28T05:35:00,45.011,0.95,2652.314,448.184
2023-01-28T05:40:00,56.257,0.944,2410.699,513.812
2023-01-28T05:45:00,46.122,0.964,773.63,520.121
2023-01-28T05:50:00,33.078,0.951,1841.791,212.013
2023-01-28T05:55:00,44.579,0.917,1322.022,612.874
2023-01-28T06:00:00,42.228,0.928,1824.919,331.02
2023-01-28T06:05:00,40.682,0.986,630.403,296.736
2023-01-28T06:10:00,51.84,0.934,1010.907,671.792
2023-01-28T06:15:00,40.103,1.004,948.235,284.837
2023-01-28T06:20:00,37.674,0.991,434.956,331.365
2023-01-28T06:25:00,34.758,1.003,468.494,288.535
2023-01-28T06:30:00,32.804,1.003,596.531,237.221
2023-01-28T06:35:00,35.975,0.986,658.952,256.922
2023-01-28T06:40:00,32.406,1.003,408.593,239.303
2023-01-28T06:45:00,41.783,0.907,1291.448,391.93
2023-01-28T06:50:00,40.138,0.983,914.729,509.19
2023-01-28T06:55:00,64.77,0.918,3922.197,1087.724
2023-01-28T07:00:00,50.337,0.957,1702.195,504.496
2023-01-28T07:05:00,25.568,0.973,699.108,129.997
2023-01-28T07:10:00,45.176,0.853,1705.781,303.37
2023-01-28T07:15:00,35.72,0.968,2816.404,214.689
2023-01-28T07:20:00,37.487,0.954,1587.377,282.105
2023-01-28T07:25:00,49.89,0.945,1289.37,655.499
2023-01-28T07:30:00,45.388,1.003,902.101,709.72
2023-01-28T07:35:00,41.977,0.924,1155.621,336.922
2023-01-28T07:40:00,33.467,0.962,2538.274,242.829
2023-01-28T07:45:00,31.425,0.946,647.991,185.662
2023-01-28T07:50:00,32.631,1.002,843.678,205.498
2023-01-28T07:55:00,31.258,1.005,1202.578,145.849
2023-01-28T08:00:00,37.137,0.988,2305.485,233.458
2023-01-28T08:05:00,32.19,1.005,838.934,249.196
2023-01-28T08:10:00,38.073,0.941,2349.679,308.988
2023-01-28T08:15:00,49.648,0.704,2315.333,229.091
2023-01-28T08:30:00,35.866,0.877,3158.091,221.142
2023-01-28T08:35:00,41.109,0.762,2301.389,186.354
2023-01-28T08:40:00,27.642,0.956,2021.967,107.845
2023-01-28T08:45:00,30.232,0.913,1290.898,53.821
2023-01-28T08:50:00,27.792,1.004,1203.908,108.495
2023-01-28T08:55:00,42.037,0.98,1172.023,244.345
2023-01-28T09:00:00,33.376,0.996,772.753,188.096
2023-01-28T09:05:00,34.217,1.003,1406.692,271.92
2023-01-28T09:10:00,37.127,0.997,1068.162,307.603
2023-01-28T09:15:00,44.365,0.941,1122.179,234.602
2023-01-28T09:20:00,41.594,1.006,1271.424,367.052
2023-01-28T09:25:00,42.158,0.957,2126.854,342.609
2023-01-28T09:30:00,50.205,0.988,1981.294,407.192
2023-01-28T09:35:00,39.731,1.003,1166.503,251.555
2023-01-28T09:40:00,32.218,1.001,718.413,197.438
2023-01-28T09:45:00,32.966,1.004,523.677,207.224
2023-01-28T09:50:00,31.5,1.006,561.635,184.672
2023-01-28T09:55:00,31.918,1.002,896.581,153.338
2023-01-28T10:00:00,44.131,0.898,1245.328,286.699
2023-01-28T10:05:00,53.074,0.877,3828.196,543.767
2023-01-28T10:10:00,50.506,0.954,2588.01,727.89
2023-01-28T10:15:00,41.055,0.909,2068.925,305.836
2023-01-28T10:35:00,45.142,0.93,3746.363,188.213
2023-01-28T10:40:00,46.536,1.001,1000.434,520.152
2023-01-28T10:45:00,68.178,0.851,4389.04,890.678
2023-01-28T10:50:00,35.451,0.975,1514.207,280.456
2023-01-28T10:55:00,43.928,0.928,1382.245,312.805
2023-01-28T11:00:00,33.942,0.912,1690.659,142.639
2023-01-28T11:05:00,47.452,0.971,1575.872,510.293
2023-01-28T11:10:00,35.277,0.864,838.416,188.165
2023-01-28T11:15:00,40.225,0.806,1964.844,136.2
2023-01-28T11:20:00,42.82,0.935,1660.297,239.457
2023-01-28T11:25:00,41.678,0.947,1493.223,208.244
2023-01-28T11:30:00,46.04,0.947,1796.945,334.091
2023-01-28T11:35:00,41.492,1.005,1646.775,339.483
