timestamp,rmssd,coverage,low_frequency,high_frequency
2023-01-29T04:35:00,36.576,0.946,496.919,358.71
2023-01-29T04:40:00,45.193,0.963,1574.792,675.281
2023-01-29T04:45:00,45.87,0.977,3670.744,653.82
2023-01-29T04:50:00,52.843,0.933,2868.319,625.101
2023-01-29T04:55:00,48.47,0.988,723.271,682.633
2023-01-29T05:00:00,52.34,1.003,2629.684,797.646
2023-01-29T05:05:00,57.497,0.911,1362.582,898.432
2023-01-29T05:10:00,51.127,0.98,3515.089,459.508
2023-01-29T05:15:00,37.599,1.003,357.242,357.115
2023-01-29T05:20:00,46.268,0.996,1254.674,579.944
2023-01-29T05:25:00,37.126,1.005,713.822,337.537
2023-01-29T05:30:00,41.351,0.94,1127.006,342.741
2023-01-29T05:35:00,43.225,0.993,665.988,503.799
2023-01-29T05:40:00,37.947,1.006,377.697,357.989
2023-01-29T05:45:00,40.137,1.002,458.912,420.992
2023-01-29T05:50:00,41.319,1.004,348.03,532.058
2023-01-29T05:55:00,40.222,0.995,427.97,443.483
2023-01-29T06:00:00,40.975,0.943,831.373,480.202
2023-01-29T06:05:00,35.708,1.007,980.328,300.443
2023-01-29T06:10:00,39.452,0.987,2230.628,305.156
2023-01-29T06:15:00,36.953,1.005,2340.095,306.333
2023-01-29T06:20:00,55.893,0.882,2778.552,645.876
2023-01-29T06:25:00,44.881,1.004,1361.956,452.29
2023-01-29T06:30:00,45.496,1.004,851.792,436.112
2023-01-29T06:35:00,46.022,1.004,1295.185,525.379
2023-01-29T06:40:00,45.708,1.003,1059.577,450.376
2023-01-29T06:45:00,46.618,0.938,864.306,428.717
2023-01-29T06:55:00,68.987,0.931,1343.213,1314.097
2023-01-29T07:00:00,71.637,0.909,2481.881,919.748
2023-01-29T07:05:00,71.133,0.976,1756.36,1170.745
2023-01-29T07:10:00,60.925,0.932,2296.75,652.351
2023-01-29T07:15:00,51.4,0.981,2182.108,444.354
2023-01-29T07:20:00,54.296,0.949,2360.716,631.59
2023-01-29T07:25:00,53.858,0.967,2176.321,336.284
2023-01-29T07:30:00,62.222,0.917,2905.496,866.675
2023-01-29T07:35:00,41.843,1.004,1070.935,351.25
2023-01-29T07:40:00,48.502,0.846,2716.957,256.579
2023-01-29T07:45:00,37.424,0.945,1036.112,134.264
2023-01-29T07:50:00,63.52,0.883,2400.904,741.665
2023-01-29T07:55:00,47.039,0.872,5321.753,348.446
2023-01-29T08:00:00,39.394,0.911,3851.357,162.466
2023-01-29T08:05:00,54.431,0.96,1152.682,456.796
2023-01-29T08:10:00,53.679,0.86,1954.285,505.413
2023-01-29T08:15:00,29.565,0.97,4163.679,95.244
2023-01-29T08:20:00,37.047,0.846,2042.83,161.894
2023-01-29T08:25:00,39.178,1.001,2338.72,183.124
2023-01-29T08:30:00,41.954,0.788,1066.832,197.838
2023-01-29T08:35:00,36.233,0.932,924.092,236.098
2023-01-29T08:40:00,37.964,0.999,856.939,234.167
2023-01-29T08:45:00,34.387,0.998,1102.2,176.256
2023-01-29T08:50:00,45.725,0.959,3999.664,567.732
2023-01-29T08:55:00,33.295,0.982,1316.977,160.917
2023-01-29T09:00:00,28.876,0.849,814.13,126.764
2023-01-29T09:15:00,63.898,0.867,4962.881,609.799
2023-01-29T09:20:00,52.6,0.992,1264.485,545.754
2023-01-29T09:25:00,42.314,1.004,577.704,379.128
2023-01-29T09:30:00,39.939,0.98,574.65,315.084
2023-01-29T09:35:00,38.527,1.005,917.22,283.244
2023-01-29T09:40:00,35.217,0.999,948.168,288.261
2023-01-29T09:45:00,34.34,1.004,972.22,214.861
2023-01-29T09:50:00,35.015,1.004,668.065,240.386
2023-01-29T09:55:00,43.821,0.843,961.957,251.911
2023-01-29T10:00:00,66.236,0.884,3117.631,802.991
2023-01-29T10:05:00,57.164,0.825,2630.694,378.435
2023-01-29T10:10:00,30.557,0.953,1082.841,127.125
2023-01-29T10:15:00,36.57,0.782,638.198,180.7
2023-01-29T10:20:00,42.795,1.004,1320.571,280.558
2023-01-29T10:25:00,42.456,0.989,1768.156,296.806
2023-01-29T10:30:00,33.534,0.967,2228.182,199.373
2023-01-29T10:35:00,43.94,0.908,3381.609,276.564
2023-01-29T10:40:00,59.963,0.866,3100.447,649.346
2023-01-29T10:45:00,49.431,0.991,2312.016,589.121
2023-01-29T10:50:00,47.095,1.003,1046.529,461.559
2023-01-29T10:55:00,50.621,0.951,1463.925,593.886
2023-01-29T11:00:00,55.541,0.93,1899.69,471.136
